"SAMPLEID"	"INDEX_NAME"	"SITE_TYPE"	"L1"	"L2"	"L3"	"L4"	"L5"	"L6"
"10005_1_06-B-102-First_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0.28260869565217	0.7173913	0	0	0
"10005_1_06-B-102-RANQ_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	0	0	1	0
"10006_1_06-B-104-First_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0.22222222222222	0.77777778	0	0	0
"10006_1_06-B-104-RANQ_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	0	0	0	1
"10007_1_06-B-106-First_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	0	0.20192307692308	0.79807692	0
"10007_1_06-B-106-RANQ_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	0	0	0	1
"10008_1_06-B-107-First_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	0	0	1	0
"10008_1_06-B-107-RANQ_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	0	0	0	1
"10008_1_06-B-107-Second_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	0	0	1	0
"10031_1_06-B-109-RANQ_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	0	0	0	1
"10031_1_06-B-109_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	0	0	1	0
"10032_1_06-B-108-RANQ_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	0	0	0	1
"10032_1_06-B-108_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	0	0	1	0
"10033_1_06-B-110-RANQ_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	0	0	0.25	0.75
"10033_1_06-B-110_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	0	0.5	0.5	0
"10034_1_06-B-111-First_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	0	0	1	0
