"SampleID"	"L1"	"L2"	"L3"	"L4"	"L5"	"L6"	"Memb.Total"	"Memb.QC"	"Lev.1.Memb"	"Lev.1.Name"	"Lev.2.Memb"	"Lev.2.Name"	"Lev.Memb.Diff"	"Lev.Memb.close"	"Lev.Prop.Num"	"Lev.Prop.Nar"
"10005_1_06-B-102-First_Kick Net 2M2"	0	0.282608695652174	0.717391304347826	0	0	0	1	"PASS"	0.717391304347826	3	0.282608695652174	2	0.434782608695652	NA	2.71739130434783	"3+"
"10005_1_06-B-102-RANQ_Kick Net 2M2"	0	0	0	0	1	0	1	"PASS"	1	5	0	NA	1	NA	5	"5"
"10006_1_06-B-104-First_Kick Net 2M2"	0	0.222222222222222	0.777777777777778	0	0	0	1	"PASS"	0.777777777777778	3	0.222222222222222	2	0.555555555555556	NA	2.77777777777778	"3+"
"10006_1_06-B-104-RANQ_Kick Net 2M2"	0	0	0	0	0	1	1	"PASS"	1	6	0	NA	1	NA	6	"6"
"10007_1_06-B-106-First_Kick Net 2M2"	0	0	0	0.201923076923077	0.798076923076923	0	1	"PASS"	0.798076923076923	5	0.201923076923077	4	0.596153846153846	NA	4.79807692307692	"5+"
"10007_1_06-B-106-RANQ_Kick Net 2M2"	0	0	0	0	0	1	1	"PASS"	1	6	0	NA	1	NA	6	"6"
"10008_1_06-B-107-First_Kick Net 2M2"	0	0	0	0	1	0	1	"PASS"	1	5	0	NA	1	NA	5	"5"
"10008_1_06-B-107-RANQ_Kick Net 2M2"	0	0	0	0	0	1	1	"PASS"	1	6	0	NA	1	NA	6	"6"
"10008_1_06-B-107-Second_Kick Net 2M2"	0	0	0	0	1	0	1	"PASS"	1	5	0	NA	1	NA	5	"5"
"10031_1_06-B-109_Kick Net 2M2"	0	0	0	0	1	0	1	"PASS"	1	5	0	NA	1	NA	5	"5"
"10031_1_06-B-109-RANQ_Kick Net 2M2"	0	0	0	0	0	1	1	"PASS"	1	6	0	NA	1	NA	6	"6"
"10032_1_06-B-108_Kick Net 2M2"	0	0	0	0	1	0	1	"PASS"	1	5	0	NA	1	NA	5	"5"
"10032_1_06-B-108-RANQ_Kick Net 2M2"	0	0	0	0	0	1	1	"PASS"	1	6	0	NA	1	NA	6	"6"
"10033_1_06-B-110_Kick Net 2M2"	0	0	0	0.5	0.5	0	1	"PASS"	0.5	4	0.5	5	0	"tie"	4.5	"4/5 tie"
"10033_1_06-B-110-RANQ_Kick Net 2M2"	0	0	0	0	0.25	0.75	1	"PASS"	0.75	6	0.25	5	0.5	NA	5.75	"6+"
"10034_1_06-B-111-First_Kick Net 2M2"	0	0	0	0	1	0	1	"PASS"	1	5	0	NA	1	NA	5	"5"
"10034_1_06-B-111-RANQ_Kick Net 2M2"	0	0	0	0	0.5	0.5	1	"PASS"	0.5	5	0.5	6	0	"tie"	5.5	"5/6 tie"
"10034_1_06-B-111-Second_Kick Net 2M2"	0	0	0	0	1	0	1	"PASS"	1	5	0	NA	1	NA	5	"5"
"10035_1_06-B-112-First_Kick Net 2M2"	0	0	0	0.00591715976331368	0.994082840236686	0	1	"PASS"	0.994082840236686	5	0.00591715976331368	4	0.988165680473372	NA	4.99408284023668	"5+"
"10035_1_06-B-112-RANQ_Kick Net 2M2"	0	0	0	0	0.25	0.75	1	"PASS"	0.75	6	0.25	5	0.5	NA	5.75	"6+"
"10035_1_06-B-112-Second_Kick Net 2M2"	0	0	0	0	1	0	1	"PASS"	1	5	0	NA	1	NA	5	"5"
"10035_1_06-B-112-Third_Kick Net 2M2"	0	0	0	0	1	0	1	"PASS"	1	5	0	NA	1	NA	5	"5"
"10036_1_06-B-113-First_Kick Net 2M2"	0	0	0	0	1	0	1	"PASS"	1	5	0	NA	1	NA	5	"5"
"10036_1_06-B-113-RANQ_Kick Net 2M2"	0	0	0	0	0	1	1	"PASS"	1	6	0	NA	1	NA	6	"6"
"10036_1_06-B-113-Second_Kick Net 2M2"	0	0	0	0	1	0	1	"PASS"	1	5	0	NA	1	NA	5	"5"
"10036_1_06-B-113-Third_Kick Net 2M2"	0	0	0	0	1	0	1	"PASS"	1	5	0	NA	1	NA	5	"5"
"10037_1_06-B-114-First_Kick Net 2M2"	0	0	0	0	1	0	1	"PASS"	1	5	0	NA	1	NA	5	"5"
"10037_1_06-B-114-RANQ_Kick Net 2M2"	0	0	0	0	0.25	0.75	1	"PASS"	0.75	6	0.25	5	0.5	NA	5.75	"6+"
"10037_1_06-B-114-Second_Kick Net 2M2"	0	0	0	0	1	0	1	"PASS"	1	5	0	NA	1	NA	5	"5"
