"SampleID"	"L1"	"L2"	"L3"	"L4"	"L5"	"L6"	"Memb.Total"	"Memb.QC"	"Lev.1.Memb"	"Lev.1.Name"	"Lev.2.Memb"	"Lev.2.Name"	"Lev.Memb.Diff"	"Lev.Memb.close"	"Lev.Prop.Num"	"Lev.Prop.Nar"
"10000"	0	0	0	1	0	0	1	"PASS"	1	4	0	NA	1	NA	4	"4"
"10001"	0	0	0	0	1	0	1	"PASS"	1	5	0	NA	1	NA	5	"5"
"10002"	0	0.75	0.25	0	0	0	1	"PASS"	0.75	2	0.25	3	0.5	NA	2.25	"2-"
"10003"	0.609375	0.390625	0	0	0	0	1	"PASS"	0.609375	1	0.390625	2	0.21875	NA	1.390625	"1-"
"10004"	0.013157894736842	0.5	0.48684211	0	0	0	1	"PASS"	0.5	2	0.48684211	3	0.01315789	"tie"	2.47368422473684	"2/3 tie"
"10124"	0	0	0	0	1	0	1	"PASS"	1	5	0	NA	1	NA	5	"5"
"10496"	0	0	0	0	0	1	1	"PASS"	1	6	0	NA	1	NA	6	"6"
"10498"	0	0	0.15201465201465	0.84798535	0	0	1	"PASS"	0.84798535	4	0.15201465201465	3	0.69597069798535	NA	3.84798535604395	"4+"
"10500"	0	0	0.5	0.5	0	0	1	"PASS"	0.5	3	0.5	4	0	"tie"	3.5	"3/4 tie"
"10501"	0	0	1	0	0	0	1	"PASS"	1	3	0	NA	1	NA	3	"3"
"10508"	0	0	1	0	0	0	1	"PASS"	1	3	0	NA	1	NA	3	"3"
"10582"	0	0	0	0	1	0	1	"PASS"	1	5	0	NA	1	NA	5	"5"
"10583"	0	0	0	1	0	0	1	"PASS"	1	4	0	NA	1	NA	4	"4"
"10589"	0	0.31818181818182	0.68181818	0	0	0	1	"PASS"	0.68181818	3	0.31818181818182	2	0.36363636181818	NA	2.68181817636364	"3+"
"10590"	0	0	0.0548780487804875	0.94512195	0	0	1	"PASS"	0.94512195	4	0.0548780487804875	3	0.890243901219512	NA	3.94512194634146	"4+"
"10628"	0	1	0	0	0	0	1	"PASS"	1	2	0	NA	1	NA	2	"2"
"10629"	0	0	0	1	0	0	1	"PASS"	1	4	0	NA	1	NA	4	"4"
"10630"	0	0.25	0.75	0	0	0	1	"PASS"	0.75	3	0.25	2	0.5	NA	2.75	"3+"
"10712"	0	0	0	1	0	0	1	"PASS"	1	4	0	NA	1	NA	4	"4"
"10714"	0	0	0	1	0	0	1	"PASS"	1	4	0	NA	1	NA	4	"4"
"10716"	0	0	0	1	0	0	1	"PASS"	1	4	0	NA	1	NA	4	"4"
"10717"	0	0	0	1	0	0	1	"PASS"	1	4	0	NA	1	NA	4	"4"
"10754"	1	0	0	0	0	0	1	"PASS"	1	1	0	NA	1	NA	1	"1"
"10759"	0	0	0	0	1	0	1	"PASS"	1	5	0	NA	1	NA	5	"5"
"10802"	0	0	0.806122448979592	0.19387755	0	0	1	"PASS"	0.806122448979592	3	0.19387755	4	0.612244898979592	NA	3.19387754693878	"3-"
"10804"	0	0	0	1	0	0	1	"PASS"	1	4	0	NA	1	NA	4	"4"
"10861"	0	0	0	0.94444444444444	0.05555556	0	1	"PASS"	0.94444444444444	4	0.05555556	5	0.88888888444444	NA	4.05555557777776	"4-"
"10863"	0	0	1	0	0	0	1	"PASS"	1	3	0	NA	1	NA	3	"3"
"10864"	0	0	1	0	0	0	1	"PASS"	1	3	0	NA	1	NA	3	"3"
"10974"	0	0	0.731788079470198	0.26821192	0	0	1	"PASS"	0.731788079470198	3	0.26821192	4	0.463576159470198	NA	3.26821191841059	"3-"
"10979"	0	0	1	0	0	0	1	"PASS"	1	3	0	NA	1	NA	3	"3"
"10986"	0	0.29136690647482	0.70863309	0	0	0	1	"PASS"	0.70863309	3	0.29136690647482	2	0.41726618352518	NA	2.70863308294964	"3+"
"10990"	0	0	0	0	1	0	1	"PASS"	1	5	0	NA	1	NA	5	"5"
"10993"	0	0	1	0	0	0	1	"PASS"	1	3	0	NA	1	NA	3	"3"
"10994"	0	0	0	0	1	0	1	"PASS"	1	5	0	NA	1	NA	5	"5"
"10995"	0	0.75	0.25	0	0	0	1	"PASS"	0.75	2	0.25	3	0.5	NA	2.25	"2-"
"10998"	0	0	0	1	0	0	1	"PASS"	1	4	0	NA	1	NA	4	"4"
"11066"	0	0.093816631130065	0.843816631130065	0.06236674	0	0	1	"PASS"	0.843816631130065	3	0.093816631130065	2	0.75	NA	2.96855011565032	"3+"
"11067"	0.75	0.25	0	0	0	0	1	"PASS"	0.75	1	0.25	2	0.5	NA	1.25	"1-"
"11069"	0	0	0	1	0	0	1	"PASS"	1	4	0	NA	1	NA	4	"4"
"11122"	0	0.20731707317073	0.79268293	0	0	0	1	"PASS"	0.79268293	3	0.20731707317073	2	0.58536585682927	NA	2.79268293634146	"3+"
"11164"	0	0	0	0	1	0	1	"PASS"	1	5	0	NA	1	NA	5	"5"
"11165"	0	0	0	0.77586206896552	0.22413793	0	1	"PASS"	0.77586206896552	4	0.22413793	5	0.55172413896552	NA	4.22413792586208	"4-"
"11172"	0	0	1	0	0	0	1	"PASS"	1	3	0	NA	1	NA	3	"3"
"11224"	0	0	0	1	0	0	1	"PASS"	1	4	0	NA	1	NA	4	"4"
"11225"	0	0	0.25	0.75	0	0	1	"PASS"	0.75	4	0.25	3	0.5	NA	3.75	"4+"
"11227"	0	0	0	0.666666666666667	0.33333333	0	1	"PASS"	0.666666666666667	4	0.33333333	5	0.333333336666667	NA	4.33333331666667	"4-"
"11228"	0	0	0.586887835703002	0.41311216	0	0	1	"PASS"	0.586887835703002	3	0.41311216	4	0.173775675703002	"yes"	3.413112147109	"3-"
"11229"	0	0.51923076923077	0.48076923	0	0	0	1	"PASS"	0.51923076923077	2	0.48076923	3	0.0384615392307701	"tie"	2.48076922846154	"2/3 tie"
"11240"	0	0	0	1	0	0	1	"PASS"	1	4	0	NA	1	NA	4	"4"
"11481"	0	0	0	0	1	0	1	"PASS"	1	5	0	NA	1	NA	5	"5"
"11483"	0	0	0.457627118644068	0.54237288	0	0	1	"PASS"	0.54237288	4	0.457627118644068	3	0.0847457613559316	"tie"	3.5423728759322	"4/3 tie"
"11564"	0	0.25	0.75	0	0	0	1	"PASS"	0.75	3	0.25	2	0.5	NA	2.75	"3+"
"12003"	0	0	0	1	0	0	1	"PASS"	1	4	0	NA	1	NA	4	"4"
"12004"	0	0	0	0	1	0	1	"PASS"	1	5	0	NA	1	NA	5	"5"
"12099"	0	0.21597633136095	0.78402367	0	0	0	1	"PASS"	0.78402367	3	0.21597633136095	2	0.56804733863905	NA	2.7840236727219	"3+"
"12223"	0	0	1	0	0	0	1	"PASS"	1	3	0	NA	1	NA	3	"3"
"12243"	0	0	0.5	0.5	0	0	1	"PASS"	0.5	3	0.5	4	0	"tie"	3.5	"3/4 tie"
"12534"	0	0	0	1	0	0	1	"PASS"	1	4	0	NA	1	NA	4	"4"
"12535"	0	0	0	0	1	0	1	"PASS"	1	5	0	NA	1	NA	5	"5"
"12536"	0	0	0.0222222222222199	0.97777778	0	0	1	"PASS"	0.97777778	4	0.0222222222222199	3	0.95555555777778	NA	3.97777778666666	"4+"
"12537"	0	0	0.75	0.25	0	0	1	"PASS"	0.75	3	0.25	4	0.5	NA	3.25	"3-"
"12538"	0	0.86363636363636	0.13636364	0	0	0	1	"PASS"	0.86363636363636	2	0.13636364	3	0.72727272363636	NA	2.13636364727272	"2-"
"12540"	0	0	0	0	1	0	1	"PASS"	1	5	0	NA	1	NA	5	"5"
"12541"	0	0	0.5	0.5	0	0	1	"PASS"	0.5	3	0.5	4	0	"tie"	3.5	"3/4 tie"
"12542"	0	0	1	0	0	0	1	"PASS"	1	3	0	NA	1	NA	3	"3"
"12569"	0	0	0	0.43939393939394	0.56060606	0	1	"PASS"	0.56060606	5	0.43939393939394	4	0.12121212060606	"yes"	4.56060605757576	"5+"
"12570"	0	0	1	0	0	0	1	"PASS"	1	3	0	NA	1	NA	3	"3"
"12595"	0	0	0	0	1	0	1	"PASS"	1	5	0	NA	1	NA	5	"5"
"12597"	0	0	0	1	0	0	1	"PASS"	1	4	0	NA	1	NA	4	"4"
"12598"	0	0.20063694267516	0.79936306	0	0	0	1	"PASS"	0.79936306	3	0.20063694267516	2	0.59872611732484	NA	2.79936306535032	"3+"
"12676"	0	0	0	0	1	0	1	"PASS"	1	5	0	NA	1	NA	5	"5"
"12677"	0	0	1	0	0	0	1	"PASS"	1	3	0	NA	1	NA	3	"3"
"12678"	0	0	0.30350553505535	0.69649446	0	0	1	"PASS"	0.69649446	4	0.30350553505535	3	0.39298892494465	NA	3.69649444516605	"4+"
"12679"	0	0	0.628205128205133	0.37179487	0	0	1	"PASS"	0.628205128205133	3	0.37179487	4	0.256410258205133	NA	3.3717948646154	"3-"
"12680"	0	0	0.386942675159235	0.61305732	0	0	1	"PASS"	0.61305732	4	0.386942675159235	3	0.226114644840765	NA	3.6130573054777	"4+"
"12681"	0	0	0	1	0	0	1	"PASS"	1	4	0	NA	1	NA	4	"4"
"12683"	0	0	0	0	0	1	1	"PASS"	1	6	0	NA	1	NA	6	"6"
"12684"	0	0	0	1	0	0	1	"PASS"	1	4	0	NA	1	NA	4	"4"
"12685"	0	0	1	0	0	0	1	"PASS"	1	3	0	NA	1	NA	3	"3"
"12686"	0	0	0	1	0	0	1	"PASS"	1	4	0	NA	1	NA	4	"4"
"12724"	0	0	0	1	0	0	1	"PASS"	1	4	0	NA	1	NA	4	"4"
"12725"	0	0	0	0	1	0	1	"PASS"	1	5	0	NA	1	NA	5	"5"
"12726"	0	0	0	1	0	0	1	"PASS"	1	4	0	NA	1	NA	4	"4"
"12727"	0	0	0	1	0	0	1	"PASS"	1	4	0	NA	1	NA	4	"4"
"12728"	0	0	1	0	0	0	1	"PASS"	1	3	0	NA	1	NA	3	"3"
"12729"	0	0.5	0.5	0	0	0	1	"PASS"	0.5	2	0.5	3	0	"tie"	2.5	"2/3 tie"
"12730"	0	0.5	0.5	0	0	0	1	"PASS"	0.5	2	0.5	3	0	"tie"	2.5	"2/3 tie"
"12731"	0	0.8046875	0.1953125	0	0	0	1	"PASS"	0.8046875	2	0.1953125	3	0.609375	NA	2.1953125	"2-"
"12732"	0	0	1	0	0	0	1	"PASS"	1	3	0	NA	1	NA	3	"3"
"12733"	0	0	0	0	1	0	1	"PASS"	1	5	0	NA	1	NA	5	"5"
"12734"	0	0	0	0	1	0	1	"PASS"	1	5	0	NA	1	NA	5	"5"
"12826"	0	0	0.305555555555555	0.69444444	0	0	1	"PASS"	0.69444444	4	0.305555555555555	3	0.388888884444445	NA	3.69444442666667	"4+"
"12827"	0	0.25	0.25	0.5	0	0	1	"PASS"	0.5	4	0.25	2	0.25	NA	3.25	"3-"
"12828"	0	0	1	0	0	0	1	"PASS"	1	3	0	NA	1	NA	3	"3"
"12829"	0	0	1	0	0	0	1	"PASS"	1	3	0	NA	1	NA	3	"3"
"12830"	0	0	0	1	0	0	1	"PASS"	1	4	0	NA	1	NA	4	"4"
"12831"	0	0.61111111111111	0.38888889	0	0	0	1	"PASS"	0.61111111111111	2	0.38888889	3	0.22222222111111	NA	2.38888889222222	"2-"
"12832"	0	0	0.75	0.25	0	0	1	"PASS"	0.75	3	0.25	4	0.5	NA	3.25	"3-"
"12833"	0	0	0.65714285714286	0.34285714	0	0	1	"PASS"	0.65714285714286	3	0.34285714	4	0.31428571714286	NA	3.34285713142858	"3-"
"12834"	0	0	0.3	0.7	0	0	1	"PASS"	0.7	4	0.3	3	0.4	NA	3.7	"4+"
"12897"	0	0	1	0	0	0	1	"PASS"	1	3	0	NA	1	NA	3	"3"
"12898"	0	0.11764705882353	0.88235294	0	0	0	1	"PASS"	0.88235294	3	0.11764705882353	2	0.76470588117647	NA	2.88235293764706	"3+"
"12899"	0	0	1	0	0	0	1	"PASS"	1	3	0	NA	1	NA	3	"3"
"12900"	0	0.25	0.25	0.5	0	0	1	"PASS"	0.5	4	0.25	2	0.25	NA	3.25	"3-"
"12901"	0	0	1	0	0	0	1	"PASS"	1	3	0	NA	1	NA	3	"3"
"12902"	0	0	0.75	0.25	0	0	1	"PASS"	0.75	3	0.25	4	0.5	NA	3.25	"3-"
"12990"	0	0.5	0.5	0	0	0	1	"PASS"	0.5	2	0.5	3	0	"tie"	2.5	"2/3 tie"
"12991"	0	0	0.5	0.5	0	0	1	"PASS"	0.5	3	0.5	4	0	"tie"	3.5	"3/4 tie"
