"StationID"	"VisitNum"	"VisitType"	"GroupNumber"	"NominalTier_Calc"	"NominalMem_Calc"	"SecondTier_Calc"	"SecondMem_Calc"	"NominalTier_QC"	"NominalMem_QC"	"SecondTier_QC"	"SecondMem_QC"
"_NA_"	"10005_1_06-B-102-First_Kick Net 2M2"	"bug"	1	3	0.717391304347826	2	0.282608695652174	3	0.717391304347826	2	0.282608695652174
"_NA_"	"10005_1_06-B-102-RANQ_Kick Net 2M2"	"bug"	1	5	1	NA	0	5	1	5	0
"_NA_"	"10006_1_06-B-104-First_Kick Net 2M2"	"bug"	1	3	0.777777777777778	2	0.222222222222222	3	0.777777777777778	2	0.222222222222222
"_NA_"	"10006_1_06-B-104-RANQ_Kick Net 2M2"	"bug"	1	6	1	NA	0	6	1	6	0
"_NA_"	"10007_1_06-B-106-First_Kick Net 2M2"	"bug"	1	5	0.798076923076923	4	0.201923076923077	5	0.798076923076923	4	0.201923076923077
"_NA_"	"10007_1_06-B-106-RANQ_Kick Net 2M2"	"bug"	1	6	1	NA	0	6	1	6	0
"_NA_"	"10008_1_06-B-107-First_Kick Net 2M2"	"bug"	1	5	1	NA	0	5	1	5	0
"_NA_"	"10008_1_06-B-107-RANQ_Kick Net 2M2"	"bug"	1	6	1	NA	0	6	1	6	0
"_NA_"	"10008_1_06-B-107-Second_Kick Net 2M2"	"bug"	1	5	1	NA	0	5	1	5	0
"_NA_"	"10031_1_06-B-109-RANQ_Kick Net 2M2"	"bug"	1	6	1	NA	0	6	1	6	0
"_NA_"	"10031_1_06-B-109_Kick Net 2M2"	"bug"	1	5	1	NA	0	5	1	5	0
"_NA_"	"10032_1_06-B-108-RANQ_Kick Net 2M2"	"bug"	1	6	1	NA	0	6	1	6	0
"_NA_"	"10032_1_06-B-108_Kick Net 2M2"	"bug"	1	5	1	NA	0	5	1	5	0
"_NA_"	"10033_1_06-B-110-RANQ_Kick Net 2M2"	"bug"	1	6	0.75	5	0.25	6	0.75	5	0.25
"_NA_"	"10033_1_06-B-110_Kick Net 2M2"	"bug"	1	4	0.5	5	0.5	4	0.5	5	0.5
"_NA_"	"10034_1_06-B-111-First_Kick Net 2M2"	"bug"	1	5	1	NA	0	5	1	5	0
"_NA_"	"10034_1_06-B-111-RANQ_Kick Net 2M2"	"bug"	1	5	0.5	6	0.5	5	0.5	6	0.5
"_NA_"	"10034_1_06-B-111-Second_Kick Net 2M2"	"bug"	1	5	1	NA	0	5	1	5	0
"_NA_"	"10035_1_06-B-112-First_Kick Net 2M2"	"bug"	1	5	0.994082840236686	4	0.00591715976331368	5	0.994082840236686	4	0.00591715976331368
"_NA_"	"10035_1_06-B-112-RANQ_Kick Net 2M2"	"bug"	1	6	0.75	5	0.25	6	0.75	5	0.25
"_NA_"	"10035_1_06-B-112-Second_Kick Net 2M2"	"bug"	1	5	1	NA	0	5	1	5	0
"_NA_"	"10035_1_06-B-112-Third_Kick Net 2M2"	"bug"	1	5	1	NA	0	5	1	5	0
"_NA_"	"10036_1_06-B-113-First_Kick Net 2M2"	"bug"	1	5	1	NA	0	5	1	5	0
"_NA_"	"10036_1_06-B-113-RANQ_Kick Net 2M2"	"bug"	1	6	1	NA	0	6	1	6	0
"_NA_"	"10036_1_06-B-113-Second_Kick Net 2M2"	"bug"	1	5	1	NA	0	5	1	5	0
"_NA_"	"10036_1_06-B-113-Third_Kick Net 2M2"	"bug"	1	5	1	NA	0	5	1	5	0
"_NA_"	"10037_1_06-B-114-First_Kick Net 2M2"	"bug"	1	5	1	NA	0	5	1	5	0
"_NA_"	"10037_1_06-B-114-RANQ_Kick Net 2M2"	"bug"	1	6	0.75	5	0.25	6	0.75	5	0.25
"_NA_"	"10037_1_06-B-114-Second_Kick Net 2M2"	"bug"	1	5	1	NA	0	5	1	5	0
"_NA_"	"10038_1_06-B-115-First_Kick Net 2M2"	"bug"	1	5	1	NA	0	5	1	5	0
"_NA_"	"10038_1_06-B-115-RANQ_Kick Net 2M2"	"bug"	1	5	1	NA	0	5	1	5	0
"_NA_"	"10039_1_06-B-116-First_Kick Net 2M2"	"bug"	1	5	1	NA	0	5	1	5	0
"_NA_"	"10039_1_06-B-116-RANQ_Kick Net 2M2"	"bug"	1	6	1	NA	0	6	1	6	0
"_NA_"	"10039_1_06-B-116-Second_Kick Net 2M2"	"bug"	1	5	1	NA	0	5	1	5	0
"_NA_"	"10040_1_06-B-117-RANQ_Kick Net 2M2"	"bug"	1	6	0.75	5	0.25	6	0.75	5	0.25
"_NA_"	"10040_1_06-B-117-Second_Kick Net 2M2"	"bug"	1	5	1	NA	0	5	1	5	0
"_NA_"	"10041_1_06-B-118-First_Kick Net 2M2"	"bug"	1	5	1	NA	0	5	1	5	0
"_NA_"	"10041_1_06-B-118-RANQ_Kick Net 2M2"	"bug"	1	5	1	NA	0	5	1	5	0
"_NA_"	"10041_1_06-B-118-Second_Kick Net 2M2"	"bug"	1	5	1	NA	0	5	1	5	0
"_NA_"	"10041_2_06-B-119-First_Kick Net 2M2"	"bug"	1	5	1	NA	0	5	1	5	0
"_NA_"	"10041_2_06-B-119-RANQ_Kick Net 2M2"	"bug"	1	5	0.5	6	0.5	5	0.5	6	0.5
"_NA_"	"10041_2_06-B-119-Second_Kick Net 2M2"	"bug"	1	5	1	NA	0	5	1	5	0
"_NA_"	"10041_2_06-B-119-Third_Kick Net 2M2"	"bug"	1	5	1	NA	0	5	1	5	0
"_NA_"	"10081_1_06-B-120-First_Kick Net 2M2"	"bug"	1	5	1	NA	0	5	1	5	0
"_NA_"	"10081_1_06-B-120-RANQ_Kick Net 2M2"	"bug"	1	6	0.75	5	0.25	6	0.75	5	0.25
"_NA_"	"10081_1_06-B-120-Second_Kick Net 2M2"	"bug"	1	5	1	NA	0	5	1	5	0
"_NA_"	"10081_1_06-B-120-Third_Kick Net 2M2"	"bug"	1	5	1	NA	0	5	1	5	0
"_NA_"	"10082_1_06-B-121-First_Kick Net 2M2"	"bug"	1	5	1	NA	0	5	1	5	0
"_NA_"	"10082_1_06-B-121-RANQ_Kick Net 2M2"	"bug"	1	5	0.5	6	0.5	5	0.5	6	0.5
"_NA_"	"10082_1_06-B-121-Second_Kick Net 2M2"	"bug"	1	5	1	NA	0	5	1	5	0
"_NA_"	"10114_1_06-B-122-RANQ_Kick Net 2M2"	"bug"	1	5	1	NA	0	5	1	5	0
"_NA_"	"10114_1_06-B-122_Kick Net 2M2"	"bug"	1	5	1	NA	0	5	1	5	0
"_NA_"	"10116_1_06-B-123-RANQ_Kick Net 2M2"	"bug"	1	5	0.75	6	0.25	5	0.75	6	0.25
"_NA_"	"10116_1_06-B-123_Kick Net 2M2"	"bug"	1	5	0.894230769230769	4	0.105769230769231	5	0.894230769230769	4	0.105769230769231
"_NA_"	"10117_1_06-B-124-First_Kick Net 2M2"	"bug"	1	4	0.798941798941799	5	0.201058201058201	4	0.798941798941799	5	0.201058201058201
"_NA_"	"10117_1_06-B-124-RANQ_Kick Net 2M2"	"bug"	1	5	0.5	6	0.5	5	0.5	6	0.5
"_NA_"	"10117_1_06-B-124-Second_Kick Net 2M2"	"bug"	1	5	0.598130841121495	4	0.401869158878505	5	0.598130841121495	4	0.401869158878505
"_NA_"	"10118_1_06-B-125-RANQ_Kick Net 2M2"	"bug"	1	5	0.75	6	0.25	5	0.75	6	0.25
