"SAMPLEID"	"INDEX_NAME"	"SITE_TYPE"	"L1"	"L2"	"L3"	"L4"	"L5"	"L6"
"16-B-001_9_19_2016_1_First"	"BCG_CT_2015"	"bug01"	0	0	0	1	0	0
"16-B-002_9_20_2016_1_First"	"BCG_CT_2015"	"bug01"	0	0	1	0	0	0
"16-B-003_9_20_2016_1_First"	"BCG_CT_2015"	"bug01"	0	0.88461538461538	0.11538462	0	0	0
"16-B-004_9_20_2016_1_First"	"BCG_CT_2015"	"bug01"	0	0	0	1	0	0
"16-B-005_9_20_2016_1_First"	"BCG_CT_2015"	"bug01"	0	0	0.26359832635983	0.73640167	0	0
"16-B-006_9_20_2016_1_First"	"BCG_CT_2015"	"bug01"	0	0	0	0	1	0
"16-B-007_9_21_2016_1_First"	"BCG_CT_2015"	"bug01"	0	0	0	0	1	0
"16-B-008_9_21_2016_1_First"	"BCG_CT_2015"	"bug01"	0	0	0	0	1	0
"16-B-009_9_21_2016_1_First"	"BCG_CT_2015"	"bug01"	0	0	0	0	1	0
"16-B-010_9_21_2016_1_First"	"BCG_CT_2015"	"bug01"	0	0	0	1	0	0
"16-B-011_9_21_2016_1_First"	"BCG_CT_2015"	"bug01"	0	0	0	1	0	0
"16-B-013_9_21_2016_1_First"	"BCG_CT_2015"	"bug01"	0	0	0	0.6243654822335	0.37563452	0
"16-B-014_9_21_2016_1_First"	"BCG_CT_2015"	"bug01"	0	0	0.42342342342342	0.57657658	0	0
"16-B-016_9_26_2016_1_First"	"BCG_CT_2015"	"bug01"	0	0	0	1	0	0
"16-B-017_9_26_2016_1_First"	"BCG_CT_2015"	"bug01"	0	0	0	1	0	0
"16-B-018_9_26_2016_1_First"	"BCG_CT_2015"	"bug01"	0	0	0.33333333333333	0.66666667	0	0
"16-B-019_9_26_2016_1_First"	"BCG_CT_2015"	"bug01"	0	0	0	0	1	0
"16-B-020_9_27_2016_1_First"	"BCG_CT_2015"	"bug01"	0	0	1	0	0	0
"16-B-021_9_27_2016_1_First"	"BCG_CT_2015"	"bug01"	0	0	0	0.33891213389121	0.66108787	0
"16-B-022_9_27_2016_1_First"	"BCG_CT_2015"	"bug01"	0	0	0	1	0	0
"16-B-023_9_27_2016_1_First"	"BCG_CT_2015"	"bug01"	0	0	0	0.72972972972973	0.27027027	0
"16-B-025_9_28_2016_1_First"	"BCG_CT_2015"	"bug01"	0	0	0	0	1	0
"16-B-026_9_28_2016_1_First"	"BCG_CT_2015"	"bug01"	0	0	0	0	1	0
"16-B-027_9_28_2016_1_First"	"BCG_CT_2015"	"bug01"	0	0	0	0	1	0
"16-B-028_9_28_2016_1_First"	"BCG_CT_2015"	"bug01"	0	0	0	0.14864864864865	0.85135135	0
"16-B-029_9_28_2016_1_First"	"BCG_CT_2015"	"bug01"	0	0	0	1	0	0
"16-B-030_9_28_2016_1_First"	"BCG_CT_2015"	"bug01"	0	0	0	0.85606060606061	0.14393939	0
"16-B-031_9_28_2016_1_First"	"BCG_CT_2015"	"bug01"	0	0	0	1	0	0
"16-B-032_9_26_2016_1_First"	"BCG_CT_2015"	"bug01"	0	0	0	0	0	1
"16-B-032_9_29_2016_1_First"	"BCG_CT_2015"	"bug01"	0	0	0	0	1	0
"16-B-033_9_29_2016_1_First"	"BCG_CT_2015"	"bug01"	0	0.16666666666667	0.83333333	0	0	0
"16-B-034_9_29_2016_1_First"	"BCG_CT_2015"	"bug01"	0	0	0	1	0	0
"16-B-035_9_30_2016_1_First"	"BCG_CT_2015"	"bug01"	0	0.8	0.2	0	0	0
"16-B-036_9_30_2016_1_First"	"BCG_CT_2015"	"bug01"	0	0.63513513513514	0.36486486	0	0	0
"16-B-037_9_30_2016_1_First"	"BCG_CT_2015"	"bug01"	0	0	1	0	0	0
"16-B-039_9_30_2016_1_First"	"BCG_CT_2015"	"bug01"	0	0	0.23809523809524	0.76190476	0	0
"16-B-040_10_5_2016_1_First"	"BCG_CT_2015"	"bug01"	0	0	0	0	1	0
"16-B-041_10_5_2016_1_First"	"BCG_CT_2015"	"bug01"	0	0	0	0	1	0
"16-B-042_10_5_2016_1_First"	"BCG_CT_2015"	"bug01"	0	0.11538461538462	0.88461538	0	0	0
"16-B-043_10_5_2016_1_First"	"BCG_CT_2015"	"bug01"	0	0	0	0	1	0
"16-B-044_10_5_2016_1_First"	"BCG_CT_2015"	"bug01"	0	0	1	0	0	0
"16-B-045_10_5_2016_1_First"	"BCG_CT_2015"	"bug01"	0	0	0	0.09756097560976	0.90243902	0
"16-B-046_10_5_2016_1_First"	"BCG_CT_2015"	"bug01"	0	0	0	0	1	0
"16-B-047_10_5_2016_1_First"	"BCG_CT_2015"	"bug01"	0	0	0	1	0	0
"16-B-048_10_5_2016_1_First"	"BCG_CT_2015"	"bug01"	0	0	0	0	1	0
"16-B-049_10_5_2016_1_First"	"BCG_CT_2015"	"bug01"	0	0	0	0	1	0
"16-B-051_10_5_2016_1_First"	"BCG_CT_2015"	"bug01"	0	0	0	0	1	0
"16-B-052_10_6_2016_1_First"	"BCG_CT_2015"	"bug01"	0	0	0	0.48305084745763	0.51694915	0
"16-B-053_10_6_2016_1_First"	"BCG_CT_2015"	"bug01"	0	0	0	0	1	0
"16-B-054_10_6_2016_1_First"	"BCG_CT_2015"	"bug01"	0	0	0.5	0.5	0	0
"16-B-055_10_6_2016_1_First"	"BCG_CT_2015"	"bug01"	0	0	0	1	0	0
"16-B-056_10_7_2016_1_First"	"BCG_CT_2015"	"bug01"	0	0	0	0	1	0
"16-B-057_10_7_2016_1_First"	"BCG_CT_2015"	"bug01"	0	0	0	0	1	0
"16-B-058_10_7_2016_1_First"	"BCG_CT_2015"	"bug01"	0	1	0	0	0	0
"16-B-060_10_7_2016_1_First"	"BCG_CT_2015"	"bug01"	0	0	1	0	0	0
"16-B-061_10_11_2016_1_First"	"BCG_CT_2015"	"bug01"	0	0	0	0.21951219512195	0.7804878	0
"16-B-062_10_11_2016_1_First"	"BCG_CT_2015"	"bug01"	0	0	0	0	1	0
"16-B-062_10_17_2016_1_First"	"BCG_CT_2015"	"bug01"	0	0	0	0	1	0
"16-B-063_10_11_2016_1_First"	"BCG_CT_2015"	"bug01"	0	0	0	1	0	0
"16-B-064_10_11_2016_1_First"	"BCG_CT_2015"	"bug01"	0	0	0	0.3716814159292	0.62831858	0
"16-B-065_10_12_2016_1_First"	"BCG_CT_2015"	"bug01"	0	0	1	0	0	0
"16-B-066_10_12_2016_1_First"	"BCG_CT_2015"	"bug01"	0	0.642857142857141	0.35714286	0	0	0
"16-B-067_10_12_2016_1_First"	"BCG_CT_2015"	"bug01"	0	1	0	0	0	0
"16-B-068_10_12_2016_1_First"	"BCG_CT_2015"	"bug01"	0	0.37179487179487	0.62820513	0	0	0
"16-B-069_10_13_2016_1_First"	"BCG_CT_2015"	"bug01"	0	0	0	0	1	0
"16-B-070_10_13_2016_1_First"	"BCG_CT_2015"	"bug01"	0	0	0.5	0.5	0	0
"16-B-072_10_13_2016_1_First"	"BCG_CT_2015"	"bug01"	0	0	0	0.5	0.5	0
"16-B-073_10_13_2016_1_First"	"BCG_CT_2015"	"bug01"	0	0.27272727272727	0.72727273	0	0	0
"16-B-074_10_13_2016_1_First"	"BCG_CT_2015"	"bug01"	0	0	0	0	1	0
"16-B-075_10_17_2016_1_First"	"BCG_CT_2015"	"bug01"	0	0	1	0	0	0
"16-B-077_10_17_2016_1_First"	"BCG_CT_2015"	"bug01"	0	0	0	1	0	0
"16-B-078_10_17_2016_1_First"	"BCG_CT_2015"	"bug01"	0	0	0	0	1	0
"16-B-079_10_18_2016_1_First"	"BCG_CT_2015"	"bug01"	0	0	0.5	0.5	0	0
"16-B-081_10_18_2016_1_First"	"BCG_CT_2015"	"bug01"	0	0	0	1	0	0
"16-B-082_10_18_2016_1_First"	"BCG_CT_2015"	"bug01"	0	0	0	1	0	0
"16-B-082_10_8_2016_1_First"	"BCG_CT_2015"	"bug01"	0	0	0	0	0	1
"16-B-083_10_18_2016_1_First"	"BCG_CT_2015"	"bug01"	0	0	1	0	0	0
"16-B-084_10_19_2016_1_First"	"BCG_CT_2015"	"bug01"	0	0	0.5	0.5	0	0
"16-B-085_10_19_2016_1_First"	"BCG_CT_2015"	"bug01"	0	0	0	0	1	0
"16-B-086_10_19_2016_1_First"	"BCG_CT_2015"	"bug01"	0	0	0	0	1	0
"16-B-087_10_19_2016_1_First"	"BCG_CT_2015"	"bug01"	0	0	0	0.44230769230769	0.55769231	0
"16-B-088_10_21_2016_1_First"	"BCG_CT_2015"	"bug01"	0	0	0	1	0	0
"16-B-089_10_21_2016_1_First"	"BCG_CT_2015"	"bug01"	0	0	0	0.62037037037037	0.37962963	0
"16-B-090_10_21_2016_1_First"	"BCG_CT_2015"	"bug01"	0	0	0.93305439330544	0.06694561	0	0
"16-B-091_10_21_2016_1_First"	"BCG_CT_2015"	"bug01"	0	0	0	1	0	0
"16-B-092_10_24_2016_1_First"	"BCG_CT_2015"	"bug01"	0	0	1	0	0	0
"16-B-093_10_24_2016_1_First"	"BCG_CT_2015"	"bug01"	0	0	0.62637362637363	0.37362637	0	0
"16-B-094_10_24_2016_1_First"	"BCG_CT_2015"	"bug01"	0	0	0	0.99170124481328	0.00829876	0
"16-B-095_10_24_2016_1_First"	"BCG_CT_2015"	"bug01"	0	0	1	0	0	0
"16-B-096_10_24_2016_1_First"	"BCG_CT_2015"	"bug01"	0	0.16666666666667	0.83333333	0	0	0
"16-B-097_10_25_2016_1_First"	"BCG_CT_2015"	"bug01"	0	0	0.225806451612899	0.77419355	0	0
"16-B-098_10_25_2016_1_First"	"BCG_CT_2015"	"bug01"	0	0	1	0	0	0
"16-B-099_10_25_2016_1_First"	"BCG_CT_2015"	"bug01"	0	0	0	1	0	0
"16-B-100_10_25_2016_1_First"	"BCG_CT_2015"	"bug01"	0	0.0434782608695699	0.0434782608695699	0.91304348	0	0
"16-B-101_10_25_2016_1_First"	"BCG_CT_2015"	"bug01"	0	0	0.0674846625766898	0.93251534	0	0
"16-B-102_10_26_2016_1_First"	"BCG_CT_2015"	"bug01"	0	0	0.45177664974619	0.54822335	0	0
"16-B-104_10_26_2016_1_First"	"BCG_CT_2015"	"bug01"	0	0	0	0	0	1
"16-B-105_10_26_2016_1_First"	"BCG_CT_2015"	"bug01"	0	0	0	0	1	0
"16-B-106_10_26_2016_1_First"	"BCG_CT_2015"	"bug01"	0	0	0	0	1	0
"16-B-107_10_26_2016_1_First"	"BCG_CT_2015"	"bug01"	0	0	1	0	0	0
"16-B-108_10_26_2016_1_First"	"BCG_CT_2015"	"bug01"	0	0	1	0	0	0
"16-B-109_10_28_2016_1_First"	"BCG_CT_2015"	"bug01"	0	0.13414634146341	0.86585366	0	0	0
"16-B-110_10_28_2016_1_First"	"BCG_CT_2015"	"bug01"	0	0.5	0.5	0	0	0
"16-B-111_10_28_2016_1_First"	"BCG_CT_2015"	"bug01"	0	0	0	1	0	0
"16-B-112_10_28_2016_1_First"	"BCG_CT_2015"	"bug01"	0	0	0	0.22994652406417	0.77005348	0
"16-B-113_10_28_2016_1_First"	"BCG_CT_2015"	"bug01"	0	0	0	0.77083333333333	0.22916667	0
"16-B-114_10_28_2016_1_First"	"BCG_CT_2015"	"bug01"	0	0	0	0.5	0.5	0
"16-B-115_10_28_2016_1_First"	"BCG_CT_2015"	"bug01"	0	0.34848484848485	0.65151515	0	0	0
"16-B-116_10_28_2016_1_First"	"BCG_CT_2015"	"bug01"	0	0.65151515151515	0.34848485	0	0	0
"16-B-117_10_31_2016_1_First"	"BCG_CT_2015"	"bug01"	0	0	1	0	0	0
"16-B-118_10_31_2016_1_First"	"BCG_CT_2015"	"bug01"	0	0	0	0.47368421052632	0.52631579	0
"16-B-119_10_31_2016_1_First"	"BCG_CT_2015"	"bug01"	0	0	0	0.50442477876106	0.49557522	0
