"SampleID"	"L1"	"L2"	"L3"	"L4"	"L5"	"L6"	"Memb.Total"	"Memb.QC"	"Lev.1.Memb"	"Lev.1.Name"	"Lev.2.Memb"	"Lev.2.Name"	"Lev.Memb.Diff"	"Lev.Memb.close"	"Lev.Prop.Num"	"Lev.Prop.Nar"
"16-B-001_9_19_2016_1_First"	0	0	0	1	0	0	1	"PASS"	1	4	0	NA	1	NA	4	"4"
"16-B-002_9_20_2016_1_First"	0	0	1	0	0	0	1	"PASS"	1	3	0	NA	1	NA	3	"3"
"16-B-003_9_20_2016_1_First"	0	0.88461538461538	0.11538462	0	0	0	1	"PASS"	0.88461538461538	2	0.11538462	3	0.76923076461538	NA	2.11538462923076	"2-"
"16-B-004_9_20_2016_1_First"	0	0	0	1	0	0	1	"PASS"	1	4	0	NA	1	NA	4	"4"
"16-B-005_9_20_2016_1_First"	0	0	0.26359832635983	0.73640167	0	0	1	"PASS"	0.73640167	4	0.26359832635983	3	0.47280334364017	NA	3.73640165907949	"4+"
"16-B-006_9_20_2016_1_First"	0	0	0	0	1	0	1	"PASS"	1	5	0	NA	1	NA	5	"5"
"16-B-007_9_21_2016_1_First"	0	0	0	0	1	0	1	"PASS"	1	5	0	NA	1	NA	5	"5"
"16-B-008_9_21_2016_1_First"	0	0	0	0	1	0	1	"PASS"	1	5	0	NA	1	NA	5	"5"
"16-B-009_9_21_2016_1_First"	0	0	0	0	1	0	1	"PASS"	1	5	0	NA	1	NA	5	"5"
"16-B-010_9_21_2016_1_First"	0	0	0	1	0	0	1	"PASS"	1	4	0	NA	1	NA	4	"4"
"16-B-011_9_21_2016_1_First"	0	0	0	1	0	0	1	"PASS"	1	4	0	NA	1	NA	4	"4"
"16-B-013_9_21_2016_1_First"	0	0	0	0.6243654822335	0.37563452	0	1	"PASS"	0.6243654822335	4	0.37563452	5	0.2487309622335	NA	4.375634528934	"4-"
"16-B-014_9_21_2016_1_First"	0	0	0.42342342342342	0.57657658	0	0	1	"PASS"	0.57657658	4	0.42342342342342	3	0.15315315657658	"yes"	3.57657659027026	"4+"
"16-B-016_9_26_2016_1_First"	0	0	0	1	0	0	1	"PASS"	1	4	0	NA	1	NA	4	"4"
"16-B-017_9_26_2016_1_First"	0	0	0	1	0	0	1	"PASS"	1	4	0	NA	1	NA	4	"4"
"16-B-018_9_26_2016_1_First"	0	0	0.33333333333333	0.66666667	0	0	1	"PASS"	0.66666667	4	0.33333333333333	3	0.33333333666667	NA	3.66666667999999	"4+"
"16-B-019_9_26_2016_1_First"	0	0	0	0	1	0	1	"PASS"	1	5	0	NA	1	NA	5	"5"
