"SAMPLEID"	"INDEX_NAME"	"SITE_TYPE"	"L1"	"L2"	"L3"	"L4"	"L5"	"L6"
"14129_112_2018"	"BCG_CT_2015"	"fish02"	0	0	1	0	0	0
"14130_399_2019"	"BCG_CT_2015"	"fish01"	0	0	0	1	0	0
"14141_82_2018"	"BCG_CT_2015"	"fish01"	0	0	1	0	0	0
"14177_532_2019"	"BCG_CT_2015"	"fish02"	0	0	0	0	1	0
"14184_311_2019"	"BCG_CT_2015"	"fish01"	0	0	0	1	0	0
"14184_549_2019"	"BCG_CT_2015"	"fish01"	0	0	0	1	0	0
"14184_550_2019"	"BCG_CT_2015"	"fish01"	0	0	0	1	0	0
"14186_397_2019"	"BCG_CT_2015"	"fish02"	0	0.31818181818182	0.68181818	0	0	0
"14193_104_2018"	"BCG_CT_2015"	"fish02"	0	0	1	0	0	0
"14194_102_2018"	"BCG_CT_2015"	"fish02"	0	0	0.758064516129032	0.24193548	0	0
"14212_496_2019"	"BCG_CT_2015"	"fish01"	0	0	0	0.61194029850746	0.3880597	0
"14226_401_2019"	"BCG_CT_2015"	"fish02"	0	0	0.624610591900316	0.37538941	0	0
"14228_85_2018"	"BCG_CT_2015"	"fish01"	0	0	0	1	0	0
"14238_633_2019"	"BCG_CT_2015"	"fish02"	0	0	1	0	0	0
"14314_165_2018"	"BCG_CT_2015"	"fish03"	0	0	0	0.86363636363636	0.13636364	0
"14314_508_2019"	"BCG_CT_2015"	"fish03"	0	0	0	1	0	0
"14317_544_2019"	"BCG_CT_2015"	"fish03"	0	0	0	0.0593220338983103	0.94067797	0
"14332_545_2019"	"BCG_CT_2015"	"fish03"	0	0	0	0	1	0
"14355_529_2019"	"BCG_CT_2015"	"fish03"	0	0	0	1	0	0
"14370_347_2019"	"BCG_CT_2015"	"fish03"	0	0	0.2239336492891	0.77606635	0	0
"14402_376_2019"	"BCG_CT_2015"	"fish02"	0	0	0	1	0	0
"14413_937_2021"	"BCG_CT_2015"	"fish03"	0	0	0.25	0.75	0	0
"14438_348_2019"	"BCG_CT_2015"	"fish01"	0	0.75	0.25	0	0	0
"14474_286_2019"	"BCG_CT_2015"	"fish02"	0	0	0	1	0	0
"14538_462_2019"	"BCG_CT_2015"	"fish01"	0	0	0.25	0.75	0	0
"14605_628_2019"	"BCG_CT_2015"	"fish02"	0	0	1	0	0	0
"14627_406_2019"	"BCG_CT_2015"	"fish03"	0	0	0.75	0.25	0	0
"14718_167_2018"	"BCG_CT_2015"	"fish01"	0	0	0	0	0.83333333333333	0.16666667
"14731_148_2018"	"BCG_CT_2015"	"fish02"	0	0	1	0	0	0
"14790_285_2019"	"BCG_CT_2015"	"fish02"	0	0	1	0	0	0
"14800_631_2019"	"BCG_CT_2015"	"fish01"	0	0	0	1	0	0
"14813_109_2018"	"BCG_CT_2015"	"fish02"	0	1	0	0	0	0
"14863_301_2019"	"BCG_CT_2015"	"fish01"	1	0	0	0	0	0
"14880_411_2019"	"BCG_CT_2015"	"fish01"	1	0	0	0	0	0
"14888_436_2019"	"BCG_CT_2015"	"fish01"	0	0	0	1	0	0
"15016_310_2019"	"BCG_CT_2015"	"fish01"	0	0	0.25	0.75	0	0
"15024_183_2018"	"BCG_CT_2015"	"fish01"	0	0	0	1	0	0
"15035_358_2019"	"BCG_CT_2015"	"fish01"	0	0	1	0	0	0
"15042_122_2018"	"BCG_CT_2015"	"fish01"	0	0.70754716981132	0.29245283	0	0	0
"15042_473_2019"	"BCG_CT_2015"	"fish01"	0	0	0	1	0	0
"15057_535_2019"	"BCG_CT_2015"	"fish03"	0	0	0.25	0.75	0	0
"15058_540_2019"	"BCG_CT_2015"	"fish01"	0	0	0	1	0	0
"15062_360_2019"	"BCG_CT_2015"	"fish01"	0	1	0	0	0	0
"15128_125_2018"	"BCG_CT_2015"	"fish01"	0	0.1797385620915	0.82026144	0	0	0
"15128_386_2019"	"BCG_CT_2015"	"fish01"	0	0	1	0	0	0
"15179_393_2019"	"BCG_CT_2015"	"fish02"	0	0.074074074074075	0.92592593	0	0	0
"15225_159_2018"	"BCG_CT_2015"	"fish01"	0	0.75	0.25	0	0	0
