"SampleID"	"L1"	"L2"	"L3"	"L4"	"L5"	"L6"	"Memb.Total"	"Memb.QC"	"Lev.1.Memb"	"Lev.1.Name"	"Lev.2.Memb"	"Lev.2.Name"	"Lev.Memb.Diff"	"Lev.Memb.close"	"Lev.Prop.Num"	"Lev.Prop.Nar"
"2016001"	0	0	0	1	0	0	1	"PASS"	1	4	0	NA	1	NA	4	"4"
"2016002"	0	0	1	0	0	0	1	"PASS"	1	3	0	NA	1	NA	3	"3"
"2016003"	0	0	0	1	0	0	1	"PASS"	1	4	0	NA	1	NA	4	"4"
"2016004"	0	0	0	1	0	0	1	"PASS"	1	4	0	NA	1	NA	4	"4"
"2016005"	0	0	0	0	1	0	1	"PASS"	1	5	0	NA	1	NA	5	"5"
"2016006"	0	0	0	0	1	0	1	"PASS"	1	5	0	NA	1	NA	5	"5"
"2016007"	0	0.847560975609756	0.15243902	0	0	0	1	"PASS"	0.847560975609756	2	0.15243902	3	0.695121955609756	NA	2.15243901121951	"2-"
"2016008"	0	0	0.959677419354837	0.04032258	0	0	1	"PASS"	0.959677419354837	3	0.04032258	4	0.919354839354837	NA	3.04032257806451	"3-"
"2016009"	0	0	0	0	1	0	1	"PASS"	1	5	0	NA	1	NA	5	"5"
"2016010"	0.375	0.625	0	0	0	0	1	"PASS"	0.625	2	0.375	1	0.25	NA	1.625	"2+"
"2016011"	0	0.0392156862745101	0.96078431	0	0	0	1	"PASS"	0.96078431	3	0.0392156862745101	2	0.92156862372549	NA	2.96078430254902	"3+"
"2016012"	0	0	1	0	0	0	1	"PASS"	1	3	0	NA	1	NA	3	"3"
"2016013"	0	0	0.75	0.25	0	0	1	"PASS"	0.75	3	0.25	4	0.5	NA	3.25	"3-"
"2016014"	0	0	0	1	0	0	1	"PASS"	1	4	0	NA	1	NA	4	"4"
"2016015"	0.61570247933884	0.38429752	0	0	0	0	1	"PASS"	0.61570247933884	1	0.38429752	2	0.23140495933884	NA	1.38429751933884	"1-"
"2016016"	0	0	1	0	0	0	1	"PASS"	1	3	0	NA	1	NA	3	"3"
"2016017"	0	0	0	0.666666666666667	0.33333333	0	1	"PASS"	0.666666666666667	4	0.33333333	5	0.333333336666667	NA	4.33333331666667	"4-"
"2016018"	0	0	1	0	0	0	1	"PASS"	1	3	0	NA	1	NA	3	"3"
"2016019"	0	0.31818181818182	0.68181818	0	0	0	1	"PASS"	0.68181818	3	0.31818181818182	2	0.36363636181818	NA	2.68181817636364	"3+"
"2016020"	0	0	1	0	0	0	1	"PASS"	1	3	0	NA	1	NA	3	"3"
"2016021"	0	0	1	0	0	0	1	"PASS"	1	3	0	NA	1	NA	3	"3"
"2016022"	0	0	0	0	1	0	1	"PASS"	1	5	0	NA	1	NA	5	"5"
"2016023"	0	0	0	1	0	0	1	"PASS"	1	4	0	NA	1	NA	4	"4"
"2016024"	0	0	0	0	1	0	1	"PASS"	1	5	0	NA	1	NA	5	"5"
"2016025"	1	0	0	0	0	0	1	"PASS"	1	1	0	NA	1	NA	1	"1"
"2016026"	0	0	0	0.94444444444444	0.05555556	0	1	"PASS"	0.94444444444444	4	0.05555556	5	0.88888888444444	NA	4.05555557777776	"4-"
"2016027"	0	0	1	0	0	0	1	"PASS"	1	3	0	NA	1	NA	3	"3"
"2016028"	0	0	0.5	0.5	0	0	1	"PASS"	0.5	3	0.5	4	0	"tie"	3.5	"3/4 tie"
"2016029"	0	0	0	1	0	0	1	"PASS"	1	4	0	NA	1	NA	4	"4"
"2016030"	0	0	0.75	0.25	0	0	1	"PASS"	0.75	3	0.25	4	0.5	NA	3.25	"3-"
"2016031"	0	0	0	1	0	0	1	"PASS"	1	4	0	NA	1	NA	4	"4"
"2016032"	0	0	1	0	0	0	1	"PASS"	1	3	0	NA	1	NA	3	"3"
"2016033"	0	0	0	0.94444444444444	0.05555556	0	1	"PASS"	0.94444444444444	4	0.05555556	5	0.88888888444444	NA	4.05555557777776	"4-"
"2016034"	0	0	0	0	1	0	1	"PASS"	1	5	0	NA	1	NA	5	"5"
"2016035"	0	1	0	0	0	0	1	"PASS"	1	2	0	NA	1	NA	2	"2"
"2016036"	0	0	0	0.666666666666667	0.33333333	0	1	"PASS"	0.666666666666667	4	0.33333333	5	0.333333336666667	NA	4.33333331666667	"4-"
"2016037"	0	0	0	1	0	0	1	"PASS"	1	4	0	NA	1	NA	4	"4"
"2016038"	0	0	0	1	0	0	1	"PASS"	1	4	0	NA	1	NA	4	"4"
"2016039"	0	0	0.903050108932467	0.09694989	0	0	1	"PASS"	0.903050108932467	3	0.09694989	4	0.806100218932467	NA	3.0969498867974	"3-"
"2016040"	0	0	1	0	0	0	1	"PASS"	1	3	0	NA	1	NA	3	"3"
"2016041"	0	0.578059071729958	0.42194093	0	0	0	1	"PASS"	0.578059071729958	2	0.42194093	3	0.156118141729958	"yes"	2.42194093345991	"2-"
"2016042"	0	1	0	0	0	0	1	"PASS"	1	2	0	NA	1	NA	2	"2"
"2016043"	0	0	0.792712066905615	0.20728793	0	0	1	"PASS"	0.792712066905615	3	0.20728793	4	0.585424136905615	NA	3.20728792071685	"3-"
"2016044"	0	0.72222222222222	0.27777778	0	0	0	1	"PASS"	0.72222222222222	2	0.27777778	3	0.44444444222222	NA	2.27777778444444	"2-"
"2016045"	0	0	1	0	0	0	1	"PASS"	1	3	0	NA	1	NA	3	"3"
"2016046"	0	0	0	1	0	0	1	"PASS"	1	4	0	NA	1	NA	4	"4"
"2016047"	0	0	1	0	0	0	1	"PASS"	1	3	0	NA	1	NA	3	"3"
"2016048"	0	0	0.75	0.25	0	0	1	"PASS"	0.75	3	0.25	4	0.5	NA	3.25	"3-"
"2016049"	0	0	0	1	0	0	1	"PASS"	1	4	0	NA	1	NA	4	"4"
"2016050"	0	0	0.25	0.75	0	0	1	"PASS"	0.75	4	0.25	3	0.5	NA	3.75	"4+"
"2016051"	0	0.62648221343874	0.37351779	0	0	0	1	"PASS"	0.62648221343874	2	0.37351779	3	0.25296442343874	NA	2.37351779687748	"2-"
"2016052"	0	0	1	0	0	0	1	"PASS"	1	3	0	NA	1	NA	3	"3"
"2016053"	0	0.25	0.75	0	0	0	1	"PASS"	0.75	3	0.25	2	0.5	NA	2.75	"3+"
"2016054"	0	0	0.75	0.25	0	0	1	"PASS"	0.75	3	0.25	4	0.5	NA	3.25	"3-"
"2016055"	0	0	1	0	0	0	1	"PASS"	1	3	0	NA	1	NA	3	"3"
"2016056"	0	0	0	1	0	0	1	"PASS"	1	4	0	NA	1	NA	4	"4"
"2016057"	0	0	0.75	0.25	0	0	1	"PASS"	0.75	3	0.25	4	0.5	NA	3.25	"3-"
"2016058"	0	0	0	1	0	0	1	"PASS"	1	4	0	NA	1	NA	4	"4"
"2016059"	0	0	0	0.333333333333333	0.66666667	0	1	"PASS"	0.66666667	5	0.333333333333333	4	0.333333336666667	NA	4.66666668333333	"5+"
"2016060"	0	0	0	0	1	0	1	"PASS"	1	5	0	NA	1	NA	5	"5"
"2016061"	0	1	0	0	0	0	1	"PASS"	1	2	0	NA	1	NA	2	"2"
"2016062"	0	0	0.5	0.5	0	0	1	"PASS"	0.5	3	0.5	4	0	"tie"	3.5	"3/4 tie"
"2016063"	0	0	0	0	1	0	1	"PASS"	1	5	0	NA	1	NA	5	"5"
"2016064"	0	0	0	1	0	0	1	"PASS"	1	4	0	NA	1	NA	4	"4"
"2016065"	0	0	0.5	0.5	0	0	1	"PASS"	0.5	3	0.5	4	0	"tie"	3.5	"3/4 tie"
"2016066"	0	0	1	0	0	0	1	"PASS"	1	3	0	NA	1	NA	3	"3"
"2016067"	0	0	0	0	0.383720930232558	0.61627907	1	"PASS"	0.61627907	6	0.383720930232558	5	0.232558139767442	NA	5.61627907116279	"6+"
"2016068"	0	0	0	0	1	0	1	"PASS"	1	5	0	NA	1	NA	5	"5"
"2016069"	0	0	0	0	1	0	1	"PASS"	1	5	0	NA	1	NA	5	"5"
"2016070"	0	0	0	0	1	0	1	"PASS"	1	5	0	NA	1	NA	5	"5"
"2016071"	0	0	0	0	1	0	1	"PASS"	1	5	0	NA	1	NA	5	"5"
"2017001"	0	0	0	0.3728813559322	0.62711864	0	1	"PASS"	0.62711864	5	0.3728813559322	4	0.2542372840678	NA	4.6271186237288	"5+"
"2017002"	0	0	0	0	0	1	1	"PASS"	1	6	0	NA	1	NA	6	"6"
"2017003"	0	0	0	1	0	0	1	"PASS"	1	4	0	NA	1	NA	4	"4"
"2017004"	0	0	0	0	1	0	1	"PASS"	1	5	0	NA	1	NA	5	"5"
"2017005"	0	0	0	1	0	0	1	"PASS"	1	4	0	NA	1	NA	4	"4"
"2017006"	0	0	0.1875	0.333333333333333	0.47916667	0	1	"PASS"	0.47916667	5	0.333333333333333	4	0.145833336666667	"yes"	4.29166668333333	"4-"
"2017007"	0	0	0	0.375	0.625	0	1	"PASS"	0.625	5	0.375	4	0.25	NA	4.625	"5+"
"2017008"	0	0	0	1	0	0	1	"PASS"	1	4	0	NA	1	NA	4	"4"
"2017009"	0	0	0.597402597402597	0.4025974	0	0	1	"PASS"	0.597402597402597	3	0.4025974	4	0.194805197402597	"yes"	3.40259739220779	"3-"
"2017010"	0	0.166666666666668	0.83333333	0	0	0	1	"PASS"	0.83333333	3	0.166666666666668	2	0.666666663333332	NA	2.83333332333333	"3+"
"2017011"	0	0	0.0925925925925999	0.90740741	0	0	1	"PASS"	0.90740741	4	0.0925925925925999	3	0.8148148174074	NA	3.9074074177778	"4+"
"2017012"	0	0	1	0	0	0	1	"PASS"	1	3	0	NA	1	NA	3	"3"
"2017013"	0	0	0.669270833333333	0.33072917	0	0	1	"PASS"	0.669270833333333	3	0.33072917	4	0.338541663333333	NA	3.33072918	"3-"
"2017014"	0	0	0	1	0	0	1	"PASS"	1	4	0	NA	1	NA	4	"4"
"2017015"	0	0	0	1	0	0	1	"PASS"	1	4	0	NA	1	NA	4	"4"
"2017016"	0	0	0.75	0.25	0	0	1	"PASS"	0.75	3	0.25	4	0.5	NA	3.25	"3-"
"2017017"	0	0.0319148936170199	0.96808511	0	0	0	1	"PASS"	0.96808511	3	0.0319148936170199	2	0.93617021638298	NA	2.96808511723404	"3+"
"2017018"	0	0	1	0	0	0	1	"PASS"	1	3	0	NA	1	NA	3	"3"
"2017019"	0	0	1	0	0	0	1	"PASS"	1	3	0	NA	1	NA	3	"3"
"2017020"	0	0	0.75	0.25	0	0	1	"PASS"	0.75	3	0.25	4	0.5	NA	3.25	"3-"
"2017021"	0	0	0.772727272727272	0.22727273	0	0	1	"PASS"	0.772727272727272	3	0.22727273	4	0.545454542727272	NA	3.22727273818182	"3-"
"2017022"	0	0	0	0	0	1	1	"PASS"	1	6	0	NA	1	NA	6	"6"
"2017023"	0	0	0.0222222222222199	0.97777778	0	0	1	"PASS"	0.97777778	4	0.0222222222222199	3	0.95555555777778	NA	3.97777778666666	"4+"
"2017024"	0	0	0.435064935064933	0.56493506	0	0	1	"PASS"	0.56493506	4	0.435064935064933	3	0.129870124935067	"yes"	3.5649350451948	"4+"
"2017025"	0	0	0.75	0.25	0	0	1	"PASS"	0.75	3	0.25	4	0.5	NA	3.25	"3-"
"2017026"	0	0	1	0	0	0	1	"PASS"	1	3	0	NA	1	NA	3	"3"
"2017027"	0	0.5	0.5	0	0	0	1	"PASS"	0.5	2	0.5	3	0	"tie"	2.5	"2/3 tie"
"2017028"	0.33009708737864	0	0.66990291	0	0	0	1	"PASS"	0.66990291	3	0.33009708737864	1	0.33980582262136	NA	2.33980581737864	"2-"
"2017029"	0	0	1	0	0	0	1	"PASS"	1	3	0	NA	1	NA	3	"3"
"2017030"	0	0	1	0	0	0	1	"PASS"	1	3	0	NA	1	NA	3	"3"
"2017031"	0	0	0	1	0	0	1	"PASS"	1	4	0	NA	1	NA	4	"4"
"2017032"	0	0	1	0	0	0	1	"PASS"	1	3	0	NA	1	NA	3	"3"
"2017033"	0	0.25	0.75	0	0	0	1	"PASS"	0.75	3	0.25	2	0.5	NA	2.75	"3+"
"2017034"	0	0	1	0	0	0	1	"PASS"	1	3	0	NA	1	NA	3	"3"
"2017035"	0	0	0	1	0	0	1	"PASS"	1	4	0	NA	1	NA	4	"4"
"2017036"	0	0	0	1	0	0	1	"PASS"	1	4	0	NA	1	NA	4	"4"
"2017037"	0	0	0	1	0	0	1	"PASS"	1	4	0	NA	1	NA	4	"4"
"2017038"	0	0.5	0.5	0	0	0	1	"PASS"	0.5	2	0.5	3	0	"tie"	2.5	"2/3 tie"
"2017039"	0	0	0	0	1	0	1	"PASS"	1	5	0	NA	1	NA	5	"5"
"2017040"	0	0	0	1	0	0	1	"PASS"	1	4	0	NA	1	NA	4	"4"
"2017041"	0	0	0.25	0.75	0	0	1	"PASS"	0.75	4	0.25	3	0.5	NA	3.75	"4+"
