"SampleID"	"INDEX_NAME"	"INDEX_CLASS"	"L1"	"L2"	"L3"	"L4"	"L5"	"L6"	"Membership_Total"	"Membership_Total_QC"	"Primary_BCG_Level"	"Primary_Membership"	"Secondary_BCG_Level"	"Secondary_Membership"	"Membership_Diff"	"Membership_Close"	"Continuous_BCG_Level"	"BCG_Status"	"BCG_Status2"
"21-B-001_2021-09-29_1_First"	"BCG_CT_2015"	"bug01"	0	0	0	1	0	0	1	"PASS"	4	1	NA	0	1	NA	4	"4"	"4"
"21-B-004_2021-09-30_1_First"	"BCG_CT_2015"	"bug01"	0	0	0.761755485893417	0.23824451	0	0	1	"PASS"	3	0.761755485893417	4	0.23824451	0.523510975893417	NA	3.23824449768025	"3"	"3-"
"21-B-005_2021-09-30_1_First"	"BCG_CT_2015"	"bug01"	0	0	0	0.916376306620209	0.08362369	0	1	"PASS"	4	0.916376306620209	5	0.08362369	0.832752616620209	NA	4.08362367648084	"4"	"4"
"21-B-006_2021-09-30_2_First"	"BCG_CT_2015"	"bug01"	0	0	0	1	0	0	1	"PASS"	4	1	NA	0	1	NA	4	"4"	"4"
"21-B-007_2021-09-30_1_First"	"BCG_CT_2015"	"bug01"	0	0	0.397683397683398	0.6023166	0	0	1	"PASS"	4	0.6023166	3	0.397683397683398	0.204633202316602	NA	3.60231659305019	"4"	"4+"
"21-B-007_2021-09-30_1_Second"	"BCG_CT_2015"	"bug01"	0	0	0	1	0	0	1	"PASS"	4	1	NA	0	1	NA	4	"4"	"4"
"21-B-008_2021-09-30_1_First"	"BCG_CT_2015"	"bug01"	0	0	0.0660377358490569	0.93396226	0	0	1	"PASS"	4	0.93396226	3	0.0660377358490569	0.867924524150943	NA	3.93396224754717	"4"	"4"
"21-B-009_2021-09-30_1_First"	"BCG_CT_2015"	"bug01"	0	0	0	1	0	0	1	"PASS"	4	1	NA	0	1	NA	4	"4"	"4"
"21-B-013_2021-10-04_1_First"	"BCG_CT_2015"	"bug01"	0	0	0	1	0	0	1	"PASS"	4	1	NA	0	1	NA	4	"4"	"4"
"21-B-014_2021-10-06_1_First"	"BCG_CT_2015"	"bug01"	0	1	0	0	0	0	1	"PASS"	2	1	NA	0	1	NA	2	"2"	"2"
"21-B-014_2021-10-06_1_Second"	"BCG_CT_2015"	"bug01"	0	0.5	0.5	0	0	0	1	"PASS"	2	0.5	3	0.5	0	"tie"	2.5	"2.5"	"2/3 tie"
"21-B-015_2021-10-06_1_First"	"BCG_CT_2015"	"bug01"	0	0.364864864864865	0.63513514	0	0	0	1	"PASS"	3	0.63513514	2	0.364864864864865	0.270270275135135	NA	2.63513514972973	"3"	"3+"
"21-B-016_2021-10-06_1_First"	"BCG_CT_2015"	"bug01"	0	0	1	0	0	0	1	"PASS"	3	1	NA	0	1	NA	3	"3"	"3"
"21-B-017_2021-10-06_1_First"	"BCG_CT_2015"	"bug01"	0	0	0	1	0	0	1	"PASS"	4	1	NA	0	1	NA	4	"4"	"4"
"21-B-018_2021-10-07_1_First"	"BCG_CT_2015"	"bug01"	0	0	0	0.992619926199262	0.00738007	0	1	"PASS"	4	0.992619926199262	5	0.00738007	0.985239856199262	NA	4.00738005479705	"4"	"4"
"21-B-018_2021-10-07_1_Second"	"BCG_CT_2015"	"bug01"	0	0	0	0.685823754789272	0.31417625	0	1	"PASS"	4	0.685823754789272	5	0.31417625	0.371647504789272	NA	4.31417626915709	"4"	"4-"
"21-B-019_2021-10-07_1_First"	"BCG_CT_2015"	"bug01"	0	0	0	0.42156862745098	0.57843137	0	1	"PASS"	5	0.57843137	4	0.42156862745098	0.15686274254902	"yes"	4.57843135980392	"5"	"5+"
"21-B-020_2021-10-07_1_First"	"BCG_CT_2015"	"bug01"	0	0	1	0	0	0	1	"PASS"	3	1	NA	0	1	NA	3	"3"	"3"
"21-B-021_2021-10-07_2_First"	"BCG_CT_2015"	"bug01"	0	0	1	0	0	0	1	"PASS"	3	1	NA	0	1	NA	3	"3"	"3"
"21-B-023_2021-10-07_1_First"	"BCG_CT_2015"	"bug01"	0	0	1	0	0	0	1	"PASS"	3	1	NA	0	1	NA	3	"3"	"3"
"21-B-028_2021-10-12_1_First"	"BCG_CT_2015"	"bug01"	0	0.5	0.5	0	0	0	1	"PASS"	2	0.5	3	0.5	0	"tie"	2.5	"2.5"	"2/3 tie"
"21-B-029_2021-10-12_1_First"	"BCG_CT_2015"	"bug01"	0	0	0.446601941747573	0.55339806	0	0	1	"PASS"	4	0.55339806	3	0.446601941747573	0.106796118252427	"yes"	3.55339806524272	"3.5"	"3/4 tie"
"21-B-031_2021-10-12_1_First"	"BCG_CT_2015"	"bug01"	0	0	0	0.691542288557214	0.30845771	0	1	"PASS"	4	0.691542288557214	5	0.30845771	0.383084578557214	NA	4.30845770422886	"4"	"4-"
"21-B-032_2021-10-13_1_First"	"BCG_CT_2015"	"bug01"	0	0.0283018867924527	0.97169811	0	0	0	1	"PASS"	3	0.97169811	2	0.0283018867924527	0.943396223207547	NA	2.97169810358491	"3"	"3"
"21-B-033_2021-10-13_2_First"	"BCG_CT_2015"	"bug01"	0	0.59433962264151	0.40566038	0	0	0	1	"PASS"	2	0.59433962264151	3	0.40566038	0.18867924264151	"yes"	2.40566038528302	"2"	"2-"
"21-B-034_2021-10-13_1_First"	"BCG_CT_2015"	"bug01"	0	0	0.515981735159817	0.48401826	0	0	1	"PASS"	3	0.515981735159817	4	0.48401826	0.0319634751598171	"tie"	3.48401824547945	"3.5"	"3/4 tie"
"21-B-035_2021-10-13_1_First"	"BCG_CT_2015"	"bug01"	0	0.357142857142857	0.64285714	0	0	0	1	"PASS"	3	0.64285714	2	0.357142857142857	0.285714282857143	NA	2.64285713428571	"3"	"3+"
