"staSeq","avgBCG","minBCG","maxBCG","minBCG1","maxBCG1","nBCG","locationName","locationDescription","s_assessment"
14470,4,4,4,4,4,1,"Tankerhoosen River","upstream Tunnel Road","F"
15014,2,2,2,2,2,1,"Clark Creek","Upstream RTE 82 Culvert","F"
15015,4,4,4,4,4,1,"Seth Williams Brook","Behind Apartment buildings 10-11","F"
15244,5,5,5,5,5,1,"Cobble Brook","500 m ds of rte 341","N"
15393,2.63513514972973,2.63513514972973,2.63513514972973,3,3,1,"Cemetery Brook","DS Taft Pond Road at 4-H Horse camp entrance","F"
15499,3.21268655850746,2.5,3.92537311701492,2,4,2,"West Branch Salmon Brook","at Simsbury Road","F"
15592,4.16077816197707,4.00738005479705,4.31417626915709,4,4,2,"French Brook","at French Road","F"
15680,2.73809524380952,2.73809524380952,2.73809524380952,3,3,1,"Beaver Brook","upstream Beaver Brook Road in State Forest","F"
15796,3.46698112377359,3,3.93396224754717,3,4,2,"Pendleton Hill Brook","Upstream Grindstone Hill Road PENDLETON HILL BROOK NEAR CLARKS FALLS","F"
16028,3,3,3,3,3,1,"Carse Brook","between route 7 and mouth","F"
16038,3.26728112202765,3.26728112202765,3.26728112202765,3,3,1,"Deep Brook","at Baldwin Road","F"
16046,4.89830506101695,4.89830506101695,4.89830506101695,5,5,1,"Chidsey Brook","adjacent Avon Water company Well #3 (above Avon HS)","A"
16103,3.88679244150943,3.88679244150943,3.88679244150943,4,4,1,"Guinea Brook","downstream West Woods Road #2 at USGS gage","F"
16108,3.48401824547945,3.48401824547945,3.48401824547945,3,3,1,"Knowlton Brook","Between Cushman Rd and confluence with Squaw Hollow Brook","F"
16114,2.5,2.5,2.5,2,2,1,"Rugg Brook","US first road crossing from reservoir at #224 Old Waterbury Turnpike","F"
16119,2.82258065967742,2.82258065967742,2.82258065967742,3,3,1,"Day Pond Brook","at mouth","F"
16124,2,2,2,2,2,1,"Flat Brook","at Lower Barrack Road","F"
16127,2.84883721139535,2.84883721139535,2.84883721139535,3,3,1,"Jakes Brook","at Route 272","F"
16139,2.92105262684211,2.76315788052632,3,3,3,3,"Brown Brook","at Route 63","F"
16191,2.86363636772727,2.72727273545454,3,3,3,2,"Hall Meadow Brook","adjacent to Rte 272 across from South Norfolk lumber company","F"
16416,3,3,3,3,3,1,"Delphi Brook","adjacent  Delphi Road","F"
